,Type,Price,Contracts,Cum. Profit NONE,Profit %,total_value,payment,leverage
1224,Entry Long,3848.1,199.9368,1149158.4,-1.92,1263938.8,769376.80008,0.6159161240720152
1226,Entry Short,3775.7,198.7938,1142684.4,-0.86,1249158.4,750585.75066,0.6040035190431295
1228,Entry Long,3806.75,197.1371,1138038.2,-0.62,1242684.4,750451.655425,0.6061619547967099
1230,Entry Short,3784.7,197.9183,1175269.4,4.97,1238038.2,749061.39001,0.5873750205329165
1232,Entry Long,3166.65,241.6305,1159929.8,-2.0,1275269.4,765159.2228250001,0.6073030599204813
1234,Entry Short,3104.42,485.1671,1234616.0,4.96,1259929.8,1506162.448582,1.128536184626889
1236,Entry Long,3361.97,238.1846,1218821.5,-1.97,1334616.0,800769.479662,0.6071856423799581
1238,Entry Short,3296.99,240.9861,1202164.0,-2.1,1318821.5,794528.7618389999,0.6101602884421624
1240,Entry Long,3364.78,232.7129,1182381.2,-2.53,1302164.0,783027.711662,0.610604484580716
1242,Entry Short,3281.1,236.1861,1220558.4,4.93,1282381.2,774950.21271,0.5868352453855884
1244,Entry Long,3122.69,253.7355,1209802.4,-1.36,1320558.4,792337.308495,0.6049288873611776
1246,Entry Short,3081.54,261.666,1249802.8,4.96,1309802.4,806334.24564,0.5973718869452633
1248,Entry Long,2539.0,318.9753,1200892.6,-6.04,1349802.8,809878.2867,0.622555841043296
1250,Entry Short,2386.65,646.0559,1277391.6,4.96,1300892.6,1541909.3137349999,1.1194414963290031
1252,Entry Short,2560.25,322.7946,1277655.1,0.03,1377391.6,826434.87465,0.5998851778286162
1254,Entry Long,2558.41,645.9219,1359610.4,4.96,1377655.1,1652533.0481790002,1.1321740706828345
1256,Entry Short,2663.9,328.7534,1358727.4,-0.1,1459610.4,875766.18226,0.600363153705072
1258,Entry Long,2665.52,333.3828,1402703.0,4.95,1458727.4,888638.5210559999,0.5913600498940907
